Date,ZHVI,MORTGAGE30US,ZHVI_Lag1,Rate_Lag1,Target_Next_Month_ZHVI
2000-02-01,222364.88072417423,8.325,221540.4690910791,8.21,223462.9891570134
2000-03-01,223462.9891570134,8.24,222364.88072417423,8.325,225647.8560572064
2000-04-01,225647.8560572064,8.1525,223462.9891570134,8.24,228037.41548667112
2000-05-01,228037.41548667112,8.515,225647.8560572064,8.1525,230410.2405107648
2000-06-01,230410.2405107648,8.288,228037.41548667112,8.515,232842.62496349844
2000-07-01,232842.62496349844,8.1475,230410.2405107648,8.288,235298.1827631197
2000-08-01,235298.1827631197,8.0275,232842.62496349844,8.1475,237611.2977138383
2000-09-01,237611.2977138383,7.912000000000001,235298.1827631197,8.0275,239676.7922728628
2000-10-01,239676.7922728628,7.795,237611.2977138383,7.912000000000001,241544.22873621917
2000-11-01,241544.22873621917,7.745,239676.7922728628,7.795,243412.8620675537
2000-12-01,243412.8620675537,7.382,241544.22873621917,7.745,244774.01295107117
2001-01-01,244774.01295107117,7.0325,243412.8620675537,7.382,246255.2516242586
2001-02-01,246255.2516242586,7.05,244774.01295107117,7.0325,247938.25117131296
2001-03-01,247938.25117131296,6.952,246255.2516242586,7.05,250412.7216014353
2001-04-01,250412.7216014353,7.0775,247938.25117131296,6.952,252996.51737294087
2001-05-01,252996.51737294087,7.145,250412.7216014353,7.0775,255465.9997217943
2001-06-01,255465.9997217943,7.159999999999999,252996.51737294087,7.145,257946.47255890933
2001-07-01,257946.47255890933,7.1275,255465.9997217943,7.159999999999999,260426.80942223463
2001-08-01,260426.80942223463,6.95,257946.47255890933,7.1275,262907.2069121028
2001-09-01,262907.2069121028,6.8175,260426.80942223463,6.95,265309.87245171337
2001-10-01,265309.87245171337,6.6175,262907.2069121028,6.8175,267449.166225686
2001-11-01,267449.166225686,6.6579999999999995,265309.87245171337,6.6175,269577.67682673363
2001-12-01,269577.67682673363,7.0649999999999995,267449.166225686,6.6579999999999995,271262.94849591254
2002-01-01,271262.94849591254,6.9975,269577.67682673363,7.0649999999999995,273225.48014679126
2002-02-01,273225.48014679126,6.8925,271262.94849591254,6.9975,275657.6488839775
2002-03-01,275657.6488839775,7.014,273225.48014679126,6.8925,278949.1584919867
2002-04-01,278949.1584919867,6.985,275657.6488839775,7.014,282738.98792794044
2002-05-01,282738.98792794044,6.806,278949.1584919867,6.985,286723.24076165265
2002-06-01,286723.24076165265,6.65,282738.98792794044,6.806,291492.29057727824
2002-07-01,291492.29057727824,6.485,286723.24076165265,6.65,296564.4915041212
2002-08-01,296564.4915041212,6.29,291492.29057727824,6.485,301723.5328437429
2002-09-01,301723.5328437429,6.0925,296564.4915041212,6.29,306445.3766364602
2002-10-01,306445.3766364602,6.1125,301723.5328437429,6.0925,311000.6871514811
2002-11-01,311000.6871514811,6.068,306445.3766364602,6.1125,315454.95117770444
2002-12-01,315454.95117770444,6.0475,311000.6871514811,6.068,319214.3419303314
2003-01-01,319214.3419303314,5.9159999999999995,315454.95117770444,6.0475,322735.8511073691
2003-02-01,322735.8511073691,5.8425,319214.3419303314,5.9159999999999995,326543.0372191789
2003-03-01,326543.0372191789,5.745,322735.8511073691,5.8425,330971.563938913
2003-04-01,330971.563938913,5.8125,326543.0372191789,5.745,336263.2079448473
2003-05-01,336263.2079448473,5.484,330971.563938913,5.8125,340984.5469305725
2003-06-01,340984.5469305725,5.23,336263.2079448473,5.484,346475.53065386583
2003-07-01,346475.53065386583,5.6325,340984.5469305725,5.23,352288.9040405198
2003-08-01,352288.9040405198,6.264,346475.53065386583,5.6325,358909.9594260937
2003-09-01,358909.9594260937,6.1475,352288.9040405198,6.264,364842.2480122175
2003-10-01,364842.2480122175,5.952,358909.9594260937,6.1475,370442.6234131512
2003-11-01,370442.6234131512,5.9325,364842.2480122175,5.952,375927.0954044168
2003-12-01,375927.0954044168,5.8759999999999994,370442.6234131512,5.9325,381930.9901112309
2004-01-01,381930.9901112309,5.7125,375927.0954044168,5.8759999999999994,388744.4055749664
2004-02-01,388744.4055749664,5.635,381930.9901112309,5.7125,396582.34785736166
2004-03-01,396582.34785736166,5.445,388744.4055749664,5.635,405793.1836484186
2004-04-01,405793.1836484186,5.83,396582.34785736166,5.445,416739.8993430541
2004-05-01,416739.8993430541,6.27,405793.1836484186,5.83,428084.8518649736
2004-06-01,428084.8518649736,6.2875,416739.8993430541,6.27,438663.1172573301
2004-07-01,438663.1172573301,6.056,428084.8518649736,6.2875,447757.609788741
2004-08-01,447757.609788741,5.8675,438663.1172573301,6.056,456360.720867914
2004-09-01,456360.720867914,5.754,447757.609788741,5.8675,464648.76597433817
2004-10-01,464648.76597433817,5.7225,456360.720867914,5.754,470860.4634361838
2004-11-01,470860.4634361838,5.73,464648.76597433817,5.7225,476544.0656996591
2004-12-01,476544.0656996591,5.752,470860.4634361838,5.73,481458.4063232692
2005-01-01,481458.4063232692,5.71,476544.0656996591,5.752,487619.7155643327
2005-02-01,487619.7155643327,5.6275,481458.4063232692,5.71,494399.20710967854
2005-03-01,494399.20710967854,5.928,487619.7155643327,5.6275,501666.54810174735
2005-04-01,501666.54810174735,5.855,494399.20710967854,5.928,508693.29669787287
2005-05-01,508693.29669787287,5.72,501666.54810174735,5.855,515375.9131742042
2005-06-01,515375.9131742042,5.582,508693.29669787287,5.72,522855.5069421537
2005-07-01,522855.5069421537,5.695,515375.9131742042,5.582,531046.0949959124
2005-08-01,531046.0949959124,5.82,522855.5069421537,5.695,539608.2449671896
2005-09-01,539608.2449671896,5.774,531046.0949959124,5.82,548382.9168030705
2005-10-01,548382.9168030705,6.065,539608.2449671896,5.774,555243.0211158581
2005-11-01,555243.0211158581,6.33,548382.9168030705,6.065,561693.0104320245
2005-12-01,561693.0104320245,6.272,555243.0211158581,6.33,567201.1888491375
2006-01-01,567201.1888491375,6.145,561693.0104320245,6.272,572312.2733578134
2006-02-01,572312.2733578134,6.2525,567201.1888491375,6.145,576981.4076920304
2006-03-01,576981.4076920304,6.324,572312.2733578134,6.2525,581094.4886625139
2006-04-01,581094.4886625139,6.5075,576981.4076920304,6.324,585615.9627753597
2006-05-01,585615.9627753597,6.5975,581094.4886625139,6.5075,589399.460902952
2006-06-01,589399.460902952,6.6819999999999995,585615.9627753597,6.5975,591207.9035133802
2006-07-01,591207.9035133802,6.7625,589399.460902952,6.6819999999999995,592698.7114003976
2006-08-01,592698.7114003976,6.523999999999999,591207.9035133802,6.7625,592008.3921183684
2006-09-01,592008.3921183684,6.4025,592698.7114003976,6.523999999999999,591943.8676208119
2006-10-01,591943.8676208119,6.3575,592008.3921183684,6.4025,591161.0444148125
2006-11-01,591161.0444148125,6.24,591943.8676208119,6.3575,590978.1279300358
2006-12-01,590978.1279300358,6.135,591161.0444148125,6.24,591008.9328825825
2007-01-01,591008.9328825825,6.2175,590978.1279300358,6.135,590738.807429776
2007-02-01,590738.807429776,6.285,591008.9328825825,6.2175,589807.0132529853
2007-03-01,589807.0132529853,6.156000000000001,590738.807429776,6.285,588103.6758568053
2007-04-01,588103.6758568053,6.18,589807.0132529853,6.156000000000001,585032.02804816
2007-05-01,585032.02804816,6.2620000000000005,588103.6758568053,6.18,581743.2017570222
2007-06-01,581743.2017570222,6.657500000000001,585032.02804816,6.2620000000000005,576612.492018616
2007-07-01,576612.492018616,6.695,581743.2017570222,6.657500000000001,570804.2464869317
2007-08-01,570804.2464869317,6.572,576612.492018616,6.695,563878.3417003658
2007-09-01,563878.3417003658,6.3825,570804.2464869317,6.572,556931.7824590957
2007-10-01,556931.7824590957,6.375,563878.3417003658,6.3825,551165.5115449874
2007-11-01,551165.5115449874,6.208,556931.7824590957,6.375,544786.9956513293
