Date,ZHVI,MORTGAGE30US
2000-01-01,221540.4690910791,8.21
2000-02-01,222364.88072417423,8.325
2000-03-01,223462.9891570134,8.24
2000-04-01,225647.8560572064,8.1525
2000-05-01,228037.41548667112,8.515
2000-06-01,230410.2405107648,8.288
2000-07-01,232842.62496349844,8.1475
2000-08-01,235298.1827631197,8.0275
2000-09-01,237611.2977138383,7.912000000000001
2000-10-01,239676.7922728628,7.795
2000-11-01,241544.22873621917,7.745
2000-12-01,243412.8620675537,7.382
2001-01-01,244774.01295107117,7.0325
2001-02-01,246255.2516242586,7.05
2001-03-01,247938.25117131296,6.952
2001-04-01,250412.7216014353,7.0775
2001-05-01,252996.51737294087,7.145
2001-06-01,255465.9997217943,7.159999999999999
2001-07-01,257946.47255890933,7.1275
2001-08-01,260426.80942223463,6.95
2001-09-01,262907.2069121028,6.8175
2001-10-01,265309.87245171337,6.6175
2001-11-01,267449.166225686,6.6579999999999995
2001-12-01,269577.67682673363,7.0649999999999995
2002-01-01,271262.94849591254,6.9975
2002-02-01,273225.48014679126,6.8925
2002-03-01,275657.6488839775,7.014
2002-04-01,278949.1584919867,6.985
2002-05-01,282738.98792794044,6.806
2002-06-01,286723.24076165265,6.65
2002-07-01,291492.29057727824,6.485
2002-08-01,296564.4915041212,6.29
2002-09-01,301723.5328437429,6.0925
2002-10-01,306445.3766364602,6.1125
2002-11-01,311000.6871514811,6.068
2002-12-01,315454.95117770444,6.0475
2003-01-01,319214.3419303314,5.9159999999999995
2003-02-01,322735.8511073691,5.8425
2003-03-01,326543.0372191789,5.745
2003-04-01,330971.563938913,5.8125
2003-05-01,336263.2079448473,5.484
2003-06-01,340984.5469305725,5.23
2003-07-01,346475.53065386583,5.6325
2003-08-01,352288.9040405198,6.264
2003-09-01,358909.9594260937,6.1475
2003-10-01,364842.2480122175,5.952
2003-11-01,370442.6234131512,5.9325
2003-12-01,375927.0954044168,5.8759999999999994
2004-01-01,381930.9901112309,5.7125
2004-02-01,388744.4055749664,5.635
2004-03-01,396582.34785736166,5.445
2004-04-01,405793.1836484186,5.83
2004-05-01,416739.8993430541,6.27
2004-06-01,428084.8518649736,6.2875
2004-07-01,438663.1172573301,6.056
2004-08-01,447757.609788741,5.8675
2004-09-01,456360.720867914,5.754
2004-10-01,464648.76597433817,5.7225
2004-11-01,470860.4634361838,5.73
2004-12-01,476544.0656996591,5.752
2005-01-01,481458.4063232692,5.71
2005-02-01,487619.7155643327,5.6275
2005-03-01,494399.20710967854,5.928
2005-04-01,501666.54810174735,5.855
2005-05-01,508693.29669787287,5.72
2005-06-01,515375.9131742042,5.582
2005-07-01,522855.5069421537,5.695
2005-08-01,531046.0949959124,5.82
2005-09-01,539608.2449671896,5.774
2005-10-01,548382.9168030705,6.065
2005-11-01,555243.0211158581,6.33
2005-12-01,561693.0104320245,6.272
2006-01-01,567201.1888491375,6.145
2006-02-01,572312.2733578134,6.2525
2006-03-01,576981.4076920304,6.324
2006-04-01,581094.4886625139,6.5075
2006-05-01,585615.9627753597,6.5975
2006-06-01,589399.460902952,6.6819999999999995
2006-07-01,591207.9035133802,6.7625
2006-08-01,592698.7114003976,6.523999999999999
2006-09-01,592008.3921183684,6.4025
2006-10-01,591943.8676208119,6.3575
2006-11-01,591161.0444148125,6.24
2006-12-01,590978.1279300358,6.135
2007-01-01,591008.9328825825,6.2175
2007-02-01,590738.807429776,6.285
2007-03-01,589807.0132529853,6.156000000000001
2007-04-01,588103.6758568053,6.18
2007-05-01,585032.02804816,6.2620000000000005
2007-06-01,581743.2017570222,6.657500000000001
2007-07-01,576612.492018616,6.695
2007-08-01,570804.2464869317,6.572
2007-09-01,563878.3417003658,6.3825
2007-10-01,556931.7824590957,6.375
2007-11-01,551165.5115449874,6.208
2007-12-01,544786.9956513293,6.095
2008-01-01,538669.4894483836,5.758
2008-02-01,530465.8716599173,5.9175
2008-03-01,521000.96040793904,5.97
2008-04-01,508771.704638877,5.9175
2008-05-01,495404.4258272828,6.036
2008-06-01,482462.0078794213,6.32
2008-07-01,470499.5454118694,6.425999999999999
2008-08-01,459922.283255134,6.4775
2008-09-01,451816.0739053048,6.0375
2008-10-01,444517.6635129707,6.2
2008-11-01,437058.76601308415,6.0875
2008-12-01,427799.6531490363,5.286
2009-01-01,419981.6396197185,5.047499999999999
2009-02-01,414876.2944181693,5.13
2009-03-01,411338.13600523135,5.0025
2009-04-01,408220.1362588264,4.8100000000000005
2009-05-01,405137.3509039087,4.8575
2009-06-01,401637.987369568,5.42
2009-07-01,398783.3121261883,5.2219999999999995
2009-08-01,396791.3583030167,5.1925
2009-09-01,396240.0583290705,5.0575
2009-10-01,396497.1094098308,4.952
2009-11-01,398442.00749486353,4.875
2009-12-01,402131.0240219841,4.93
2010-01-01,404444.6124924759,5.03
2010-02-01,404758.4261534245,4.99
2010-03-01,404990.5771640629,4.9675
2010-04-01,406958.9257303073,5.098000000000001
2010-05-01,409859.7406045367,4.8875
2010-06-01,410075.70209934143,4.7375
2010-07-01,408304.8799162286,4.564
2010-08-01,404665.7895114692,4.4275
2010-09-01,400882.1380970481,4.346
2010-10-01,397081.5715485189,4.225
2010-11-01,393517.91392073705,4.3
2010-12-01,391574.6306149892,4.714
2011-01-01,390499.7740360988,4.755
2011-02-01,390419.1076647095,4.9525
2011-03-01,389208.29693556647,4.836
2011-04-01,387636.4610900412,4.84
2011-05-01,383791.4009898172,4.6375
2011-06-01,381708.250363682,4.51
2011-07-01,380179.5529650608,4.545
2011-08-01,378434.6257449396,4.27
2011-09-01,375043.1831648606,4.106
2011-10-01,371366.47666345537,4.0675
2011-11-01,369955.44218788814,3.9925
2011-12-01,369657.9481998704,3.9579999999999997
2012-01-01,369134.1599764459,3.915
2012-02-01,367564.6246331765,3.89
2012-03-01,365051.8434521624,3.9539999999999997
2012-04-01,362774.60803692206,3.91
2012-05-01,361681.9703835494,3.7979999999999996
